Year,Strata,Strata Name,County,Total Admits (ICD-9),30-day Readmits (ICD-9) ,30-day Readmission Rate (ICD-9),Total Admits (ICD-10),30-day Readmits (ICD-10) ,30-day Readmission Rate (ICD-10)
2011,Age,65 years and above,State,962771,144522,15%,,,
2011,Age,45 to 64 years,State,659801,90891,13.80%,,,
2011,Age,18 to 44 years,State,326070,36855,11.30%,,,
2011,Expected Payer,Self-Pay,State,75026,6563,8.70%,,,
2011,Expected Payer,Private,State,494787,48258,9.80%,,,
2011,Expected Payer,Other,State,105869,10326,9.80%,,,
2011,Expected Payer,MediCare,State,1020088,162185,15.90%,,,
2011,Expected Payer,Medi-Cal,State,252872,44936,17.80%,,,
2011,Overall,Overall,State,1948641,272268,14%,,,
2011,Overall,Overall,Alameda,75103,11377,15.10%,,,
2011,Overall,Overall,Alpine,13,1,7.70%,,,
2011,Overall,Overall,Amador,2657,345,13%,,,
2011,Overall,Overall,Butte,20422,3198,15.70%,,,
2011,Overall,Overall,Calaveras,3253,392,12.10%,,,
2011,Overall,Overall,Colusa,1113,132,11.90%,,,
2011,Overall,Overall,Contra Costa,55458,7580,13.70%,,,
2011,Overall,Overall,Del Norte,1455,206,14.20%,,,
2011,Overall,Overall,El Dorado,9890,1305,13.20%,,,
2011,Overall,Overall,Fresno,49558,6865,13.90%,,,
2011,Overall,Overall,Glenn,1745,209,12%,,,
2011,Overall,Overall,Humboldt,7053,686,9.70%,,,
2011,Overall,Overall,Imperial,9140,1194,13.10%,,,
2011,Overall,Overall,Inyo,794,57,7.20%,,,
2011,Overall,Overall,Kern,46535,6514,14%,,,
2011,Overall,Overall,Kings,7388,1011,13.70%,,,
2011,Overall,Overall,Lake,5843,893,15.30%,,,
2011,Overall,Overall,Lassen,1151,108,9.40%,,,
2011,Overall,Overall,Los Angeles,534319,83066,15.50%,,,
2011,Overall,Overall,Madera,7137,888,12.40%,,,
2011,Overall,Overall,Marin,12210,1414,11.60%,,,
2011,Overall,Overall,Mariposa,1160,144,12.40%,,,
2011,Overall,Overall,Mendocino,5360,653,12.20%,,,
2011,Overall,Overall,Merced,12482,1754,14.10%,,,
2011,Overall,Overall,Modoc,405,38,9.40%,,,
2011,Overall,Overall,Mono,245,17,6.90%,,,
2011,Overall,Overall,Monterey,18178,1973,10.90%,,,
2011,Overall,Overall,Napa,8444,1251,14.80%,,,
2011,Overall,Overall,Nevada,6098,782,12.80%,,,
2011,Overall,Overall,Orange,137953,18428,13.40%,,,
2011,Overall,Overall,Placer,18464,2258,12.20%,,,
2011,Overall,Overall,Plumas,1098,151,13.80%,,,
2011,Overall,Overall,Riverside,110802,14936,13.50%,,,
2011,Overall,Overall,Sacramento,76052,10610,14%,,,
2011,Overall,Overall,San Benito,2806,375,13.40%,,,
2011,Overall,Overall,San Bernardino,105064,14941,14.20%,,,
2011,Overall,Overall,San Diego,157874,21258,13.50%,,,
2011,Overall,Overall,San Francisco,39616,5620,14.20%,,,
2011,Overall,Overall,San Joaquin,35737,4914,13.80%,,,
2011,Overall,Overall,San Luis Obispo,14239,1603,11.30%,,,
2011,Overall,Overall,San Mateo,29726,3701,12.50%,,,
2011,Overall,Overall,Santa Barbara,18297,1963,10.70%,,,
2011,Overall,Overall,Santa Clara,68595,9076,13.20%,,,
2011,Overall,Overall,Santa Cruz,11076,1222,11%,,,
2011,Overall,Overall,Shasta,15075,1739,11.50%,,,
2011,Overall,Overall,Sierra,182,26,14.30%,,,
2011,Overall,Overall,Siskiyou,2376,201,8.50%,,,
2011,Overall,Overall,Solano,20548,2850,13.90%,,,
2011,Overall,Overall,Sonoma,23404,2757,11.80%,,,
2011,Overall,Overall,Stanislaus,30837,4278,13.90%,,,
2011,Overall,Overall,Sutter,5851,720,12.30%,,,
2011,Overall,Overall,Tehama,3509,421,12%,,,
2011,Overall,Overall,Trinity,1038,154,14.80%,,,
2011,Overall,Overall,Tulare,23641,3258,13.80%,,,
2011,Overall,Overall,Tuolumne,4131,521,12.60%,,,
2011,Overall,Overall,Ventura,42145,5195,12.30%,,,
2011,Overall,Overall,Yolo,7620,904,11.90%,,,
2011,Overall,Overall,Yuba,4902,724,14.80%,,,
2011,Race-Ethnicity,White,State,1127791,150492,13.30%,,,
2011,Race-Ethnicity,Other/Unknown,State,60771,7668,12.60%,,,
2011,Race-Ethnicity,Native American,State,5389,714,13.20%,,,
2011,Race-Ethnicity,Hispanic,State,416845,58534,14%,,,
2011,Race-Ethnicity,Asian/Pacific Islander,State,147502,20294,13.80%,,,
2011,Race-Ethnicity,African-American,State,190344,34566,18.20%,,,
2011,Sex,Male,State,901776,132417,14.70%,,,
2011,Sex,Female,State,1046865,139851,13.40%,,,
2012,Age,65 years and above,State,942119,137593,14.60%,,,
2012,Age,45 to 64 years,State,645384,89020,13.80%,,,
2012,Age,18 to 44 years,State,318458,36818,11.60%,,,
2012,Expected Payer,Self-Pay,State,71327,5842,8.20%,,,
2012,Expected Payer,Private,State,466366,45431,9.70%,,,
2012,Expected Payer,Other,State,116470,12088,10.40%,,,
2012,Expected Payer,MediCare,State,1001655,155200,15.50%,,,
2012,Expected Payer,Medi-Cal,State,250143,44870,17.90%,,,
2012,Overall,Overall,State,1905961,263431,13.80%,,,
2012,Overall,Overall,Alameda,72083,10448,14.50%,,,
2012,Overall,Overall,Alpine,10,0,0%,,,
2012,Overall,Overall,Amador,2775,411,14.80%,,,
2012,Overall,Overall,Butte,20895,3279,15.70%,,,
2012,Overall,Overall,Calaveras,3218,432,13.40%,,,
2012,Overall,Overall,Colusa,1125,179,15.90%,,,
2012,Overall,Overall,Contra Costa,55974,7733,13.80%,,,
2012,Overall,Overall,Del Norte,1411,168,11.90%,,,
2012,Overall,Overall,El Dorado,9993,1350,13.50%,,,
2012,Overall,Overall,Fresno,48216,6769,14%,,,
2012,Overall,Overall,Glenn,1772,245,13.80%,,,
2012,Overall,Overall,Humboldt,7180,743,10.30%,,,
2012,Overall,Overall,Imperial,8957,1339,14.90%,,,
2012,Overall,Overall,Inyo,787,61,7.80%,,,
2012,Overall,Overall,Kern,43650,5926,13.60%,,,
2012,Overall,Overall,Kings,6903,911,13.20%,,,
2012,Overall,Overall,Lake,5559,800,14.40%,,,
2012,Overall,Overall,Lassen,1081,138,12.80%,,,
2012,Overall,Overall,Los Angeles,517164,79235,15.30%,,,
2012,Overall,Overall,Madera,6823,806,11.80%,,,
2012,Overall,Overall,Marin,11917,1354,11.40%,,,
2012,Overall,Overall,Mariposa,1097,111,10.10%,,,
2012,Overall,Overall,Mendocino,5333,648,12.20%,,,
2012,Overall,Overall,Merced,11481,1635,14.20%,,,
